time,volume,moisture,temperature
2025-09-09 17:42:00,"0",78.39958159,20.5625
2025-09-09 17:43:00,"0",78.34728033,20.5625
2025-09-09 17:44:00,"0",78.29497908,20.5625
2025-09-09 17:45:00,"0",78.34728033,20.5625
2025-09-09 17:46:00,"0",78.34728033,20.5625
2025-09-09 17:47:00,"0",78.34728033,20.5625
2025-09-09 17:48:00,"0",78.45188285,20.5625
2025-09-09 17:49:00,"0",78.39958159,20.5625
2025-09-09 17:50:00,"0",78.34728033,20.5625
2025-09-09 17:51:00,"0",78.34728033,20.5625
2025-09-09 17:52:00,"0",78.45188285,20.5625
2025-09-09 17:53:00,"0",78.34728033,20.5625
2025-09-09 17:54:00,"0",78.45188285,20.5625
2025-09-09 17:55:00,"0",78.45188285,20.5625
2025-09-09 17:56:00,"0",78.34728033,20.5625
2025-09-09 17:57:00,"0",78.45188285,20.5625
2025-09-09 17:58:00,"0",78.34728033,20.5625
2025-09-09 17:59:00,"0",78.34728033,20.5625
2025-09-09 18:00:00,"0",78.39958159,20.5625
2025-09-09 18:01:00,"0",78.45188285,20.5625
2025-09-09 18:02:00,"0",78.45188285,20.5625
2025-09-09 18:03:00,"0",78.45188285,20.5625
2025-09-09 18:04:00,"0",78.34728033,20.5625
2025-09-09 18:05:00,"0",78.45188285,20.5625
2025-09-09 18:06:00,"0",78.45188285,20.5625
2025-09-09 18:07:00,"0",78.45188285,20.5625
2025-09-09 18:08:00,"0",78.39958159,20.5625
2025-09-09 18:09:00,"0",78.34728033,20.5625
2025-09-09 18:10:00,"0",78.45188285,20.5625
2025-09-09 18:11:00,"0",78.45188285,20.5625
2025-09-09 18:12:00,"0",78.45188285,20.5625
2025-09-09 18:13:00,"0",78.39958159,20.5625
2025-09-09 18:14:00,"0",78.34728033,20.5625
2025-09-09 18:15:00,"0",78.39958159,20.5625
2025-09-09 18:16:00,"0",78.45188285,20.5625
2025-09-09 18:17:00,"0",78.478033475,20.5625
2025-09-09 18:18:00,"0",78.55648536,20.5
2025-09-09 18:19:00,"0",78.5041841,20.5625
2025-09-09 18:20:00,"0",78.55648536,20.5625
2025-09-09 18:21:00,"0",78.5041841,20.5625
2025-09-09 18:22:00,"0",78.5041841,20.5
2025-09-09 18:23:00,"0",78.45188285,20.5
2025-09-09 18:24:00,"0",78.45188285,20.5
2025-09-09 18:25:00,"0",78.45188285,20.5
2025-09-09 18:26:00,"0",78.55648536,20.5
2025-09-09 18:27:00,"0",78.45188285,20.5
2025-09-09 18:28:00,"0",78.5041841,20.5
2025-09-09 18:29:00,"0",78.5041841,20.5
2025-09-09 18:30:00,"0",78.55648536,20.5
2025-09-09 18:31:00,"0",78.45188285,20.5
2025-09-09 18:32:00,"0",78.45188285,20.5
2025-09-09 18:33:00,"0",78.5041841,20.5
2025-09-09 18:34:00,"0",78.45188285,20.5
